"","tmt.obs.id","database.code","tmt.tree.id","tree.id","tmt.plot.id","plot.id","tmt.census.id","census.id","census.date","census.n","species.id","tmt.species.id","species.orig","genus.orig","family.orig","func.type","subplot.id","tree.coord.x","tree.coord.y","azimuth","dist.centre","d","pom","height","agb","ba","n.plot","g.plot","n.ha","tree.status","mode.death","mode.death.other","canopy.position","liana.infe","multistem"
"50","UKR.1.8067.3","UKR","UKR.1.8067",8067,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,8,730.920068075867,180.308445674749,NA,NA,90.5,130,NA,NA,6429.34625,1,6429.34625,0.1,0,NA,NA,NA,NA,NA
"51","UKR.1.27122.4","UKR","UKR.1.27122",27122,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,27,790.178912901993,448.6376351692,NA,NA,66,130,NA,NA,3419.46,1,3419.46,0.1,0,NA,NA,NA,NA,NA
"52","UKR.1.13061.3","UKR","UKR.1.13061",13061,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,876.495701531711,268.812342842384,NA,NA,70.5,130,NA,NA,3901.64625,1,3901.64625,0.1,0,NA,NA,NA,NA,NA
"53","UKR.1.33007.4","UKR","UKR.1.33007",33007,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,33,893.984330345887,512.603151037913,NA,NA,208,130,NA,NA,33962.24,1,33962.24,0.1,0,NA,NA,NA,NA,NA
"54","UKR.1.29002.1","UKR","UKR.1.29002",29002,"UKR.1",1,"UKR.1.1","1.1",2000,1,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,29,878.688348638472,461.569293000711,NA,NA,0,NA,NA,0,0,0,0,0,1,"1s",NA,NA,NA,NA
"55","UKR.1.13192.4","UKR","UKR.1.13192",13192,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,898.987239460372,290.474577029554,NA,NA,93.5,130,NA,NA,6862.66625,1,6862.66625,0.1,0,NA,NA,NA,NA,NA
"56","UKR.1.21128.4","UKR","UKR.1.21128",21128,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,21,914.895954186886,412.923619798728,NA,NA,67.5,130,NA,NA,3576.65625,1,3576.65625,0.1,0,NA,NA,NA,NA,NA
"57","UKR.1.25073.3","UKR","UKR.1.25073",25073,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,25,888.610702143125,426.301318334487,NA,NA,89.5,130,NA,NA,6288.04625,1,6288.04625,0.1,0,NA,NA,NA,NA,NA
"58","UKR.1.36068.4","UKR","UKR.1.36068",36068,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,36,756.009347034486,529.114081024158,NA,NA,112,130,NA,NA,9847.04,1,9847.04,0.1,0,NA,NA,NA,NA,NA
"59","UKR.1.27117.4","UKR","UKR.1.27117",27117,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,27,783.830948978296,450.90459705329,NA,NA,62.5,130,NA,NA,3066.40625,1,3066.40625,0.1,0,NA,NA,NA,NA,NA
"60","UKR.1.4082.4","UKR","UKR.1.4082",4082,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,4,744.678950477546,153.693772775561,NA,NA,0,NA,NA,0,0,0,0,0,1,"4",NA,NA,NA,NA
"61","UKR.1.16095.4","UKR","UKR.1.16095",16095,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,16,752.830183191377,273.568363792097,NA,NA,81,130,NA,NA,5150.385,1,5150.385,0.1,0,NA,NA,NA,NA,NA
"62","UKR.1.8025.3","UKR","UKR.1.8025",8025,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,8,762.539572237658,209.012117764691,NA,NA,311.5,130,NA,NA,76170.31625,1,76170.31625,0.1,0,NA,NA,NA,NA,NA
"63","UKR.1.20054.4","UKR","UKR.1.20054",20054,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,20,771.452389090978,347.771684385417,NA,NA,0,NA,NA,0,0,0,0,0,1,"1f",NA,NA,NA,NA
"64","UKR.1.21125.4","UKR","UKR.1.21125",21125,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,21,919.617547518265,404.048378848329,NA,NA,119.5,130,NA,NA,11209.99625,1,11209.99625,0.1,0,NA,NA,NA,NA,NA
"65","UKR.1.33007.3","UKR","UKR.1.33007",33007,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,33,893.984330345887,512.603151037913,NA,NA,199.5,130,NA,NA,31243.19625,1,31243.19625,0.1,0,NA,NA,NA,NA,NA
"66","UKR.1.13175.4","UKR","UKR.1.13175",13175,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,885.46806847065,287.292523349862,NA,NA,94,130,NA,NA,6936.26,1,6936.26,0.1,0,NA,NA,NA,NA,NA
"67","UKR.1.7162.4","UKR","UKR.1.7162",7162,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,7,785.380934939417,188.081807706287,NA,NA,64,130,NA,NA,3215.36,1,3215.36,0.1,0,NA,NA,NA,NA,NA
"68","UKR.1.31151.4","UKR","UKR.1.31151",31151,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,31,792.471620734822,502.231139036965,NA,NA,70,130,NA,NA,3846.5,1,3846.5,0.1,0,NA,NA,NA,NA,NA
"69","UKR.1.7180.4","UKR","UKR.1.7180",7180,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,7,779.338073963774,168.913909695122,NA,NA,73.5,130,NA,NA,4240.76625,1,4240.76625,0.1,0,NA,NA,NA,NA,NA
"70","UKR.1.7005.1","UKR","UKR.1.7005",7005,"UKR.1",1,"UKR.1.1","1.1",2000,1,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,7,813.832766489596,200.279479490808,NA,NA,617.5,130,NA,NA,299325.40625,1,299325.40625,0.1,0,NA,NA,NA,NA,NA
"71","UKR.1.27127.4","UKR","UKR.1.27127",27127,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,27,802.649697133445,450.41092418107,NA,NA,70.5,130,NA,NA,3901.64625,1,3901.64625,0.1,0,NA,NA,NA,NA,NA
"72","UKR.1.29002.3","UKR","UKR.1.29002",29002,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,29,878.688348638472,461.569293000711,NA,NA,0,NA,NA,0,0,0,0,0,1,"1f",NA,NA,NA,NA
"73","UKR.1.14064.3","UKR","UKR.1.14064",14064,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,14,868.873554387661,306.318682114089,NA,NA,68.5,130,NA,NA,3683.41625,1,3683.41625,0.1,0,NA,NA,NA,NA,NA
"74","UKR.1.27130.4","UKR","UKR.1.27130",27130,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,27,812.614386151237,449.641737548708,NA,NA,75.5,130,NA,NA,4474.69625,1,4474.69625,0.1,0,NA,NA,NA,NA,NA
"75","UKR.1.14065.3","UKR","UKR.1.14065",14065,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,14,865.97726711944,295.056521746073,NA,NA,75,130,NA,NA,4415.625,1,4415.625,0.1,0,NA,NA,NA,NA,NA
"76","UKR.1.23052.4","UKR","UKR.1.23052",23052,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,23,773.712560177838,369.973218146459,NA,NA,188,130,NA,NA,27745.04,1,27745.04,0.1,0,NA,NA,NA,NA,NA
"77","UKR.1.33007.1","UKR","UKR.1.33007",33007,"UKR.1",1,"UKR.1.1","1.1",2000,1,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,33,893.984330345887,512.603151037913,NA,NA,182.5,130,NA,NA,26145.40625,1,26145.40625,0.1,0,NA,NA,NA,NA,NA
"78","UKR.1.31150.4","UKR","UKR.1.31150",31150,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,31,793.290999862226,500.210290653052,NA,NA,70,130,NA,NA,3846.5,1,3846.5,0.1,0,NA,NA,NA,NA,NA
"79","UKR.1.13204.4","UKR","UKR.1.13204",13204,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,899.330336792054,302.237794339275,NA,NA,175,130,NA,NA,24040.625,1,24040.625,0.1,0,NA,NA,NA,NA,NA
